period,county,Total Dewormed,Acute Malnutrition,stunted 6-23 months,stunted 0-<6 months,stunted 24-59 months,diarrhoea cases,Underweight 0-<6 months,Underweight 6-23 months,Underweight 24-59 Months
2025-01-23,Baringo County,3659,8,471,34,380,2620,85,739,731
2025-01-23,Bomet County,1580,1.5,1,3,5,1984,41,86,16
2025-01-23,Bungoma County,6590,24,98,154,23,4576,231,315,120
2025-01-23,Busia County,7564,2,396,143,111,2239,251,608,125
2025-01-23,Elgeyo Marakwet County,1407,26,92,71,5,2739,57,104,21
2025-01-23,Embu County,3241,72,326,86,24,1376,141,544,160
2025-01-23,Garissa County,6751,250,40,13,99,2314,223,1856,1833
2025-01-23,Homa Bay County,4691,9,209,87,58,2787,140,298,84
2025-01-23,Isiolo County,790,26,51,6,50,1319,13,180,271
2025-01-23,Kajiado County,7532,104,319,102,155,4202,139,840,577
2025-01-23,Kakamega County,8044,36,252,279,292,4307,373,547,110
2025-01-23,Kericho County,2070,26,8,13,5,4175,126,415,55
2025-01-23,Kiambu County,7891,183,530,385,88,4720,723,1595,239
2025-01-23,Kilifi County,9991,81,1690,267,360,6228,339,2291,674
2025-01-23,Kirinyaga County,2148,2,157,17,8,2040,172,593,53
2025-01-23,Vihiga County,2576,28,200,96,28,906,84,356,44
2025-01-23,Uasin Gishu County,7878,1,152,77,39,6155,242,598,88
2025-01-23,Turkana County,8336,189,1272,505,1194,7053,532,3465,3940
2025-01-23,Trans Nzoia County,2603,248,236,162,22,1862,281,538,74
2025-01-23,Tharaka Nithi County,3381,33,212,102,51,1599,154,479,121
2025-01-23,Tana River County,1954,233,125,13,83,2072,15,526,672
2025-01-23,Taita Taveta County,1624,1,231,95,51,1062,189,624,180
2025-01-23,Siaya County,3843,3,16,111,16,2421,170,239,71
2025-01-23,Samburu County,1338,60,141,15,104,2384,76,519,733
2025-01-23,Nyeri County,2969,18,166,194,22,1077,345,374,44
2025-01-23,Nyandarua County,3072,12,110,119,6,1540,188,350,43
2025-01-23,Nyamira County,2091,2,97,58,5,1100,66,141,9
2025-01-23,Narok County,5820,56,67,57,32,2856,99,638,68
2025-01-23,Nandi County,1986,15.5,117,47,7,1957,102,725,46
2025-01-23,Nakuru County,9694,120,396,248,44,7420,579,1323,222
2025-01-23,Nairobi County,19893,279,2518,1243,371,9361,1474,3544,646
2025-01-23,Muranga County,4745,31,1036,236,86,2049,350,1002,122
2025-01-23,Mombasa County,3304,451,437,88,68,3089,322,1306,254
2025-01-23,Migori County,6739,29,186,68,61,2593,103,283,112
2025-01-23,Meru County,4733,26,137,215,29,2767,185,430,73
2025-01-23,Marsabit County,2667,165,475,18,581,1344,20,1126,1511
2025-01-23,Mandera County,4536,394,261,107,100,7531,276,509,594
2025-01-23,Makueni County,6497,121,573,62,392,3582,126,1207,834
2025-01-23,Machakos County,7594,65,78,20,89,3783,338,1330,215
2025-01-23,Lamu County,225,26,48,12,11,726,18,72,19
2025-01-23,Laikipia County,4473,22,303,225,111,1401,457,830,304
2025-01-23,Kwale County,7968,271,806,123,602,3291,204,1444,1076
2025-01-23,Kitui County,6264,42,770,186,401,3576,234,1692,821
2025-01-23,Kisumu County,4840,207,91,67,55,3265,201,429,104
2025-01-23,Kisii County,3498,4,29,22,10,2359,77,78,17
2025-01-23,Wajir County,6337,940,11,1,50,4250,113,911,773
2025-01-23,West Pokot County,4820,36,142,64,108,3010,205,567,469
2025-02-23,Baringo County,5237,10,406,443,432,2937,145,838,756
2025-02-23,Bomet County,2326,4,365,3,9,5053,106,113,23
2025-02-23,Bungoma County,5897,31,95,404,32,5164,420,338,97
2025-02-23,Busia County,3577,2,344,220,84,2004,195,619,68
2025-02-23,Elgeyo Marakwet County,2642,26,53,59,27,4609,83,108,25
2025-02-23,Embu County,2750,75,239,92,70,1193,130,626,354
2025-02-23,Garissa County,8090,1059,44,93,122,2072,70,1623,2039
2025-02-23,Homa Bay County,4157,5,237,81,80,3794,137,210,126
2025-02-23,Isiolo County,1115,138,192,124,35,1149,47,157,251
2025-02-23,Kajiado County,6772,295,894,99,1062,4959,207,1245,1485
2025-02-23,Kakamega County,8563,26,291,154,86,5580,276,791,230
2025-02-23,Kericho County,2338,26,6,20,7.5,4775,149,589,169
2025-02-23,Kiambu County,10852,13,572,350,45,5744,732,1695,142
2025-02-23,Kilifi County,8354,266,1534,397,423,5947,372,2069,970
2025-02-23,Kirinyaga County,2041,9,104,50,17,2437,159,520,47
2025-02-23,Vihiga County,2686,33,269,46,40,1531,87,273,159
2025-02-23,Uasin Gishu County,7510,1,188,148,160,8600,531,613,99
2025-02-23,Turkana County,13641,395,1185,360,1618,6067,413,3038,4216
2025-02-23,Trans Nzoia County,2403,373,246,183,45,2619,272,592,125
2025-02-23,Tharaka Nithi County,2131,39,254,87,64,1292,172,519,107
2025-02-23,Tana River County,3268,374,215,10,113,1453,232,728,902
2025-02-23,Taita Taveta County,1842,2,481,124,74,730,250,778,188
2025-02-23,Siaya County,3990,5,7,15,7,2983,64,162,77
2025-02-23,Samburu County,3449,382,211,26,230,2367,117,758,1166
2025-02-23,Nyeri County,3515,33,258,214,34,1628,334,435,50
2025-02-23,Nyandarua County,2680,2,138,94,7,1406,182,414,41
2025-02-23,Nyamira County,1819,2,54,23,7,946,56,71,11
2025-02-23,Narok County,5687,56,43,46,43,3854,144,219,95
2025-02-23,Nandi County,3178,2,207,84,6,3118,105,296,33
2025-02-23,Nakuru County,11226,177,648,381,347,9244,875,1504,743
2025-02-23,Nairobi County,21133,358,3566,1085,326,13516,1788,4361,552
2025-02-23,Muranga County,5343,26,581,257,81,2077,414,972,193
2025-02-23,Mombasa County,3875,498,572,75,89,3005,269,1608,193
2025-02-23,Migori County,6445,11,182,74,45,3185,116,266,81
2025-02-23,Meru County,4790,51,152,295,26,2646,229,370,55
2025-02-23,Marsabit County,13868,257,768,54,834,1449,84,1616,2864
2025-02-23,Mandera County,3196,167,145,22,102,7923,132,533,538
2025-02-23,Makueni County,8274,179,749,100,339,2414,176,1483,903
2025-02-23,Machakos County,6017,109,113,72,195,3923,400,1299.3,313
2025-02-23,Lamu County,246,26,18,15,3,711,28,50,11
2025-02-23,Laikipia County,2767,16,310,214,58,1476,426,599,141
2025-02-23,Kwale County,6307,406,582,105,394,3099,281,1957,875
2025-02-23,Kitui County,11620,32,961,193,648,2585,482,2032,1193
2025-02-23,Kisumu County,5430,247,132,55,202,5559,156,469,93
2025-02-23,Kisii County,3335,2,18,36,25,2750,43,85,55
2025-02-23,Wajir County,6602,1563,5,24,243,2940,240,948,1189
2025-02-23,West Pokot County,8296,49,452,61,318,3418,74,1265,1132
2025-03-23,Baringo County,5113,48,751,225,1104,3023,129,1192,1538
2025-03-23,Bomet County,2011,2,4,4,4,3461,92,212,8
2025-03-23,Bungoma County,7070,1,79,88,45,4276,270,446,77
2025-03-23,Busia County,4429,2,474,202,70,2022,263,706,96
2025-03-23,Elgeyo Marakwet County,2332,26,47,160,9,2313,69,132,12
2025-03-23,Embu County,3221,84,257,79,87,1510,140,591,111
2025-03-23,Garissa County,14843,316,106,55,3169,2228,65,1894,2431
2025-03-23,Homa Bay County,5592,43,214,111,43,2641,185,443,124
2025-03-23,Isiolo County,2620,128,75,9,95,860,20,278,476
2025-03-23,Kajiado County,10485,196,360,315,173,5211,279,1031,803
2025-03-23,Kakamega County,10890,29,376,167,163,5142,300,733,205
2025-03-23,Kericho County,2269,26,19,56,16,3650,197,664,94
2025-03-23,Kiambu County,8396,66,755,522,148,7358,973,2220,428
2025-03-23,Kilifi County,9092,428,1846,323,445,7437,453,2701,1058
2025-03-23,Kirinyaga County,2638,5,150,123,18,2259,180,603,77
2025-03-23,Vihiga County,2885,33,199,29,21,1323,91,342,49
2025-03-23,Uasin Gishu County,9523,1,299,218,65,8732,384,923,111
2025-03-23,Turkana County,17249,544,1185,421,1485,8467,460,3077,4680
2025-03-23,Trans Nzoia County,3694,404,223,140,31,2340,292,547,78
2025-03-23,Tharaka Nithi County,2498,27,271,97,107,1264,151,589,165
2025-03-23,Tana River County,3237,453,402,12,164,1404,25,917,777
2025-03-23,Taita Taveta County,1684,5,288,115,89,703,229,765,312
2025-03-23,Siaya County,4241,2,10,6,24,2503,71,196,60
2025-03-23,Samburu County,2514,397,213,24,116,2658,68,549,1256
2025-03-23,Nyeri County,3270,58,257,204,26,1564,435,627,59
2025-03-23,Nyandarua County,2693,102,143,112,23,1579,236,362,77
2025-03-23,Nyamira County,1408,2,49,26,5,1026,91,88,17
2025-03-23,Narok County,6124,66,80,213,474,4097,116,227,56
2025-03-23,Nandi County,3441,17,240,55,27,3164,166,324,77
2025-03-23,Nakuru County,7769,248,477,265,27,8109,796,1360,132
2025-03-23,Nairobi County,21397,665,2435,977,548,15795,1937,4110,842
2025-03-23,Muranga County,5294,29,525,200,159,2232,420,1053,139
2025-03-23,Mombasa County,4461,494,524,93,93,3960,246,1462,269
2025-03-23,Migori County,6870,22,210,103,41,3006,127,408,118
2025-03-23,Meru County,4916,107,238,154,50,3095,371,471,212
2025-03-23,Marsabit County,7768,331,409,36,649,2137,86,1164,2295
2025-03-23,Mandera County,2996,314,162,83,164,7749,171,477,674
2025-03-23,Makueni County,8046,155,558,105,395,2427,215,1550,1244
2025-03-23,Machakos County,6688,179,52,24,98,4295,338,1406,296
2025-03-23,Lamu County,454,26,18,7,1,864,33,42,5
2025-03-23,Laikipia County,3817,44,334,227,105,2115,451,838,197
2025-03-23,Kwale County,6076,483,1082,155,435,3407,367,1654,927
2025-03-23,Kitui County,7345,8,799,199,519,2628,271,2100,1200
2025-03-23,Kisumu County,5554,241,99,99,34,3533,144,388,96
2025-03-23,Kisii County,4293,3,16,15,23,2938,119,125,257
2025-03-23,Wajir County,9789,3017,13,7,329,3012,270,1291,1801
2025-03-23,West Pokot County,4229,73,309,34,200,2837,57,638,464
2025-04-23,Baringo County,4865,3,259,74,552,2493,99,905,1314
2025-04-23,Bomet County,1125,1.5,3,3,2,1538,93,184,77
2025-04-23,Bungoma County,7933,7,167,61,23,3144,258,415,136
2025-04-23,Busia County,3725,2,509,344,164,1981,211,635,84
2025-04-23,Elgeyo Marakwet County,1828,26,54,53,2,1974,80,146,4
2025-04-23,Embu County,2744,20,212,53,42,1017,135,474,82
2025-04-23,Garissa County,16912,224,22,1,204,2735,236,2159,2454
2025-04-23,Homa Bay County,26253,38,247,185,41,1962,138,234,65
2025-04-23,Isiolo County,2789,124,164,4,70,1464,12,224,497
2025-04-23,Kajiado County,6050,56,250,108,73,7107,233,999,593
2025-04-23,Kakamega County,11203,32,362,165,44,4334,209,487,408
2025-04-23,Kericho County,2095,26,17,11,9,1909,143,410,57
2025-04-23,Kiambu County,7957,56,781,368,90,5427,753,1709,245
2025-04-23,Kilifi County,6965,103,1400,351,367,7335,465,2543,947
2025-04-23,Kirinyaga County,2383,3,113,37,30,2288,179,597,58
2025-04-23,Vihiga County,2395,22,140,32,40,610,86,287,69
2025-04-23,Uasin Gishu County,8816,1,109,130,13,4629,250,677,99
2025-04-23,Turkana County,11644,343,1312,558,1499,10969,393,3316,4581
2025-04-23,Trans Nzoia County,2786,398,257,130,49,1647,266,425,122
2025-04-23,Tharaka Nithi County,2554,16,191,110,81,783,156,468,106
2025-04-23,Tana River County,2601,397,128,23,133,1375,19,621,650
2025-04-23,Taita Taveta County,2555,5,298,132,64,892,218,760,235
2025-04-23,Siaya County,3659,2,14,9,35,1629,54,107,22
2025-04-23,Samburu County,1901,50,73,41,172,2397,57,542,865
2025-04-23,Nyeri County,3299,42,277,216,31,1001,338,583,74
2025-04-23,Nyandarua County,2014,12,109,64,18,924,195,339,52
2025-04-23,Nyamira County,1246,2,36,23,13,634,51,55,15
2025-04-23,Narok County,4711,29,40,38,27,2282,116,181,63
2025-04-23,Nandi County,2585,15.5,107,69,10,1606,131,377,37
2025-04-23,Nakuru County,4870,290,358,243,58,5229,605,1229,198
2025-04-23,Nairobi County,25413,347,1891,926,645,11612,1432,3598,645
2025-04-23,Muranga County,3964,26,440,194,65,1862,279,776,109
2025-04-23,Mombasa County,4208,227,554,125,73,5454,248,1260,272
2025-04-23,Migori County,6210,35,158,44,48,1825,108,274,82
2025-04-23,Meru County,4366,61,264,139,60,2254,319,519,63
2025-04-23,Marsabit County,2755,224,220,9,480,2658,13,1099,1820
2025-04-23,Mandera County,3125,135,130,54,107,8244,195,311,468
2025-04-23,Makueni County,7264,134,744,274,446,1927,192,1620,1299
2025-04-23,Machakos County,6375,96,29,17,188,4185,355,1051,398
2025-04-23,Lamu County,474,26,8,9,2,861,32,40,9
2025-04-23,Laikipia County,4346,32,439,192,143,1386,399,731,215
2025-04-23,Kwale County,5389,315,478,152,279,3692,231,1165,790
2025-04-23,Kitui County,7310,2,1039,353,616,3224,259,2289,1252
2025-04-23,Kisumu County,3983,157,245,51,197,1978,170,371,137
2025-04-23,Kisii County,2963,2,19,63,10,2014,65,189,17
2025-04-23,Wajir County,6890,1030,9,66,423,5566,296,713,1041
2025-04-23,West Pokot County,6336,34,202,73,147,2347,134,422,432
2025-05-23,Baringo County,45643,2,566,272,794,2907,158,941,1341
2025-05-23,Bomet County,3207,1.5,3,3,3,1359,85,200,72
2025-05-23,Bungoma County,26522,6,220,203,24,3098,357,439,147
2025-05-23,Busia County,4454,1,748,137,76,1930,238,837,147
2025-05-23,Elgeyo Marakwet County,39863,26,55,45,7,1935,71,137,13
2025-05-23,Embu County,45538,43,400,78,61,1187,232,644,147
2025-05-23,Garissa County,10771,482,38,1,140,3095,84,2023,2226
2025-05-23,Homa Bay County,7691,88,211,158,46,2347,218,287,79
2025-05-23,Isiolo County,6582,99,72,21,62,2630,24,281,216
2025-05-23,Kajiado County,128655,86,274,161,155,4600,211,916,626
2025-05-23,Kakamega County,16098,26,672,97,30,5068,265,976,149
2025-05-23,Kericho County,2351,26,80,111,125,2191,141,591,264
2025-05-23,Kiambu County,25973,59,930,343,267,6068,902,1903,2220
2025-05-23,Kilifi County,7944,127,1609,459,401,13491,726,2778,820
2025-05-23,Kirinyaga County,2917,3,167,40,29,2728,210,803,81
2025-05-23,Vihiga County,3849,28,242,118,108,1028,140,392,105
2025-05-23,Uasin Gishu County,78164,1,798,104,63,5332,273,794,135
2025-05-23,Turkana County,48584,810,1462,508,1384,10892,537,3369,4614
2025-05-23,Trans Nzoia County,4250,330,353,307,50,2025,281,636,110
2025-05-23,Tharaka Nithi County,3037,62,281,95,138,979,185,563,200
2025-05-23,Tana River County,3204,267,125,601,91,2352,40,627,584
2025-05-23,Taita Taveta County,5283,8,434,121,78,1196,268,1016,343
2025-05-23,Siaya County,5256,2,23,6,18,2311,86,436,47
2025-05-23,Samburu County,39375,227,151,44,74,4101,228,634,729
2025-05-23,Nyeri County,3257,49,242,201,39,1010,402,620,103
2025-05-23,Nyandarua County,2350,12,261,136,39,893,215,454,39
2025-05-23,Nyamira County,15964,9,191,69,10,659,170,141,12
2025-05-23,Narok County,109350,36,130,243,41,3287,137,231,67
2025-05-23,Nandi County,5469,17,107,54,29,1621,99,321,52
2025-05-23,Nakuru County,6717,287,423,180,92,5857,641,1371,204
2025-05-23,Nairobi County,392800,480,2442,7900,397,12844,1889,4563,631
2025-05-23,Muranga County,8234,39,609,349,254,2712,399,1066,256
2025-05-23,Mombasa County,6064,487,535,149,152,7215,328,1748,342
2025-05-23,Migori County,14280,28,129,37,49,2086,112,277,171
2025-05-23,Meru County,4775,74,1019,231,117,2530,327,735,98
2025-05-23,Marsabit County,13197,152,204,27,482,3159,26,1082,2023
2025-05-23,Mandera County,2656,174,149,109,88,10137,151,362,389
2025-05-23,Makueni County,16872,113,833,177,608,3002,117,2074,1244
2025-05-23,Machakos County,32010,78,29,11,134,5101,456,1297,362
2025-05-23,Lamu County,374,26,21,10,3,1285,50,73,16
2025-05-23,Laikipia County,38895,24,436,182,358,1832,381,798,457
2025-05-23,Kwale County,38360,342,533,83,345,5676,253,1623,727
2025-05-23,Kitui County,7090,2,970,189,868,3209,254,2144,1767
2025-05-23,Kisumu County,35214,260,450,115,37,5259,400,523,118
2025-05-23,Kisii County,3499,3,26,48,6,2246,67,347,31
2025-05-23,Wajir County,42145,1490,7,5,223,6277,305,802,2953
2025-05-23,West Pokot County,15454,71,271,33,79,3056,62,502,507
2025-06-23,Baringo County,10808,19,596,46,776,2403,92,1028,1603
2025-06-23,Bomet County,2873,1.5,3,3,16,1605,127,211,24
2025-06-23,Bungoma County,6314,7,84,49,31,2500,238,426,142
2025-06-23,Busia County,4356,1,506,186,66,1514,228,723,105
2025-06-23,Elgeyo Marakwet County,1738,26,33,6,3,1939,80,111,7
2025-06-23,Embu County,2351,53,662,140,50,933,167,637,116
2025-06-23,Garissa County,25392,718,25,4,459,2882,105,1684,2143
2025-06-23,Homa Bay County,4466,60,200,147,32,2057,204,386,62
2025-06-23,Isiolo County,2421,116,74,11,94,940,26,225,349
2025-06-23,Kajiado County,6127,54,306,328,112,4048,228,915,461
2025-06-23,Kakamega County,11534,29,739,124,206,4224,227,715,165
2025-06-23,Kericho County,2459,26,38,111,23,2766,157,536,110
2025-06-23,Kiambu County,73824,204,448,293,88,5847,677,1602,148
2025-06-23,Kilifi County,85912,232,1663,429,373,11064,625,2554,652
2025-06-23,Kirinyaga County,36769,2,163,29,6,1645,197,696,88
2025-06-23,Vihiga County,3452,46,206,60,74,1068,125,408,107
2025-06-23,Uasin Gishu County,14550,1,143,45,33,4729,280,695,169
2025-06-23,Turkana County,13538,593,1030,288,1311,7327,275,3150,4165
2025-06-23,Trans Nzoia County,3496,316,233,139,43,1892,274,474,118
2025-06-23,Tharaka Nithi County,32815,143,333,103,101,739,178,686,154
2025-06-23,Tana River County,6422,576,110,27,175,2065,10,709,671
2025-06-23,Taita Taveta County,4142,18,337,138,72,901,221,790,255
2025-06-23,Siaya County,4498,1,33,10,28,2826,96,254,44
2025-06-23,Samburu County,1945,138,74,26,94,2764,42,613,697
2025-06-23,Nyeri County,40780,34,219,174,39,933,284,495,59
2025-06-23,Nyandarua County,33756,12,205,114,19,800,202,377,188
2025-06-23,Nyamira County,1588,2,60,36,10,674,40,77,11
2025-06-23,Narok County,20798,45,107,45,54,3435,88,273,96
2025-06-23,Nandi County,4011,14,251,94,27,1336,147,359,56
2025-06-23,Nakuru County,107963,312,306,141,52,6753,546,1300,156
2025-06-23,Nairobi County,30860,579,2171,1705,1080,10536,1522,4339,586
2025-06-23,Muranga County,4133,26,527,224,112,1849,363,955,136
2025-06-23,Mombasa County,3990,607,550,114,158,3671,294,1254,298
2025-06-23,Migori County,7546,33,235,44,53,2301,102,222,94
2025-06-23,Meru County,179181,50,272,131,40,1971,264,578,58
2025-06-23,Marsabit County,12133,162,487,91,473,1437,162,1218,1589
2025-06-23,Mandera County,28799,166,72,29,139,6241,181,626,747
2025-06-23,Makueni County,90201,68,992,77,221,2280,115,1259,642
2025-06-23,Machakos County,78572,64,36,8,154,3820,342,1045,279
2025-06-23,Lamu County,328,26,28,9,2,1279,26,63,14
2025-06-23,Laikipia County,3021,35,288,214,133,1712,424,626,196
2025-06-23,Kwale County,13754,316,406,112,258,4233,238,1170,503
2025-06-23,Kitui County,107811,65,944,183,475,1970,245,1669,1345
2025-06-23,Kisumu County,4278,370,107,60,86,2805,420,743,95
2025-06-23,Kisii County,4516,3,142,48,7,2013,97,180,22
2025-06-23,Wajir County,6417,1835,71,26,143,3202,135,792,1368
2025-06-23,West Pokot County,10422,51,146,87,198,3623,30,347,446
2025-01-22,Baringo County,5739,3,98,44,9,2625,76,321,214
2025-01-22,Bomet County,1933,1.5,3,3,1,2840,211,121,10
2025-01-22,Bungoma County,4344,7,52,57,11,3731,228,229,52
2025-01-22,Busia County,3734,2,292,104,51,1842,239,421,83
2025-01-22,Elgeyo Marakwet County,1343,26,108,103,11,1753,110,163,12
2025-01-22,Embu County,2450,65,251,96,77,1236,141,607,66
2025-01-22,Garissa County,6805,105,233,208,92,3987,97,1042,747
2025-01-22,Homa Bay County,3177,8,118,74,12,1800,95,232,39
2025-01-22,Isiolo County,871,20,58,6,32,2028,28,141,108
2025-01-22,Kajiado County,6188,17,117,51,20,3891,135,703,70
2025-01-22,Kakamega County,6711,7,250,166,127,2847,222,520,103
2025-01-22,Kericho County,1996,26,256,28,11,3604,97,220,292
2025-01-22,Kiambu County,8115,50,451,393,54,5315,714,994,161
2025-01-22,Kilifi County,6567,76,932,400,239,10095,315,1794,476
2025-01-22,Kirinyaga County,2012,2,140,64,10,1610,170,494,50
2025-01-22,Vihiga County,2296,14,203,60,17,960,118,318,117
2025-01-22,Uasin Gishu County,4907,1,186,849,19,4126,188,506,28
2025-01-22,Turkana County,7985,185,247,122,206,6574,212,1143,1621
2025-01-22,Trans Nzoia County,1331,12,143,101,15,1583,160,305,41
2025-01-22,Tharaka Nithi County,2086,8,216,109,25,1350,160,389,37
2025-01-22,Tana River County,1675,193,46,54,97,3336,36,370,156
2025-01-22,Taita Taveta County,1399,5,209,69,37,1772,177,560,163
2025-01-22,Siaya County,4887,2,175,9,22,3734,57,151,37
2025-01-22,Samburu County,919,1,58,67,26,1911,81,349,297
2025-01-22,Nyeri County,3015,18,302,157,20,1459,316,519,39
2025-01-22,Nyandarua County,2795,12,76,84,11,1004,172,186,74
2025-01-22,Nyamira County,2383,2,22,69,36,1218,77,80,18
2025-01-22,Narok County,8817,10,27,51,24,2882,90,168,76
2025-01-22,Nandi County,4488,15.5,121,46,21,1866,108,249,39
2025-01-22,Nakuru County,10467,158,490,336,237,6815,860,1340,390
2025-01-22,Nairobi County,29284,173,1776,816,306,9922,1036,3051,855
2025-01-22,Muranga County,5022,8,496,203,76,2120,411,890,149
2025-01-22,Mombasa County,4053,353,503,58,116,4479,183,1188,294
2025-01-22,Migori County,6596,18,134,56,2,2481,55,116,182
2025-01-22,Meru County,2799,83,163,119,46,2544,234,608,41
2025-01-22,Marsabit County,3479,63,790,53,422,1973,124,1049,1491
2025-01-22,Mandera County,2452,182,93,87,127,8057,116,355,485
2025-01-22,Makueni County,6897,17,980,125,126,3424,226,782,197
2025-01-22,Machakos County,4817,73,40,18,46,4170,348,719,153
2025-01-22,Lamu County,162,26,10,8,3,974,18,63,18
2025-01-22,Laikipia County,1928,40,167,168,51,1564,328,369,31
2025-01-22,Kwale County,5806,72,396,111,396,5824,262,898,445
2025-01-22,Kitui County,5211,19,551,170,149,3214,253,866,290
2025-01-22,Kisumu County,4425,107,136,46,104,3192,182,450,78
2025-01-22,Kisii County,2240,3,20,46,3,2243,88,90,60
2025-01-22,Wajir County,6397,548,64,3,101,3918,95,492,535
2025-01-22,West Pokot County,4184,14,122,39,39,2700,36,138,52
2025-02-22,Baringo County,4146,7,80,144,91,2473,68,423,232
2025-02-22,Bomet County,1401,1.5,1,12,6,2133,119,127,15
2025-02-22,Bungoma County,39477,1,157,46,42,4058,186,694,140
2025-02-22,Busia County,3585,2,267,102,60,2097,217,412,77
2025-02-22,Elgeyo Marakwet County,1282,26,55,61,5,2199,69,126,15
2025-02-22,Embu County,2620,94,268,67,76,925,118,461,83
2025-02-22,Garissa County,5858,212,35,9,89,2405,76,1020,799
2025-02-22,Homa Bay County,2425,6,78,86,11,1506,161,208,54
2025-02-22,Isiolo County,647,54,128,11,20,1466,20,269,208
2025-02-22,Kajiado County,5740,36,161,89,31,4695,140,330,148
2025-02-22,Kakamega County,7139,18,252,236,34,3089,310,452,186
2025-02-22,Kericho County,1770,26,14,38,15,3742,132,255,43
2025-02-22,Kiambu County,6743,116,426,372,47,5223,614,1264,128
2025-02-22,Kilifi County,6844,191,1053,558,256,7829,270,1661,388
2025-02-22,Kirinyaga County,1617,1,160,54,17,1979,172,476,36
2025-02-22,Vihiga County,2022,22,155,38,34,980,90,276,64
2025-02-22,Uasin Gishu County,7299,1,201,111,96,4231,262,475,87
2025-02-22,Turkana County,13107,425,713,147,425,7929,365,1309,1598
